model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
hybrid_temporal,42,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9722222222222223,0.905388471177945,240689,2.207845449447632
hybrid_temporal,43,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,240689,2.9612183570861816
hybrid_temporal,44,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9867724867724867,0.9514411027568924,240689,3.0249717235565186
hybrid_temporal,45,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9272486772486773,0.8369228603603605,240689,2.5786757469177246
hybrid_temporal,46,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.992063492063492,0.9654761904761906,240689,1.997570514678955
random_forest,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.9212962962962963,0.8000705678337257,0,0.3880479335784912
random_forest,43,0.96,0.875,1.0,0.75,0.8571428571428571,0.9583333333333334,0.8771929824561405,0,0.39432454109191895
random_forest,44,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9735449735449736,0.9242424242424243,0,0.40004634857177734
random_forest,45,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.91005291005291,0.8331584081109699,0,0.3928036689758301
random_forest,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9841269841269841,0.9464285714285715,0,0.3905467987060547
fft,42,0.8666666666666667,0.8194444444444444,0.5625,0.75,0.6428571428571429,0.9126984126984127,0.7802723300460915,0,0.3802022933959961
fft,43,0.8933333333333333,0.8353174603174602,0.6428571428571429,0.75,0.6923076923076924,0.9166666666666667,0.815436507936508,0,0.38459038734436035
fft,44,0.92,0.8511904761904762,0.75,0.75,0.75,0.9378306878306879,0.8715277777777779,0,0.3784353733062744
fft,45,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8637566137566138,0.7614605985295642,0,0.3887965679168701
fft,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9788359788359788,0.9361111111111112,0,0.39064621925354004
logistic_regression,42,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8624338624338624,0.7567405375595032,0,0.07038736343383789
logistic_regression,43,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8928571428571428,0.7778441365397889,0,0.06872105598449707
logistic_regression,44,0.92,0.8511904761904762,0.75,0.75,0.75,0.9126984126984127,0.846851851851852,0,0.06730008125305176
logistic_regression,45,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8902116402116402,0.7232758620689655,0,0.06674075126647949
logistic_regression,46,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9695767195767196,0.9028472222222224,0,0.06929826736450195
moving_average,42,0.4666666666666667,0.5138888888888888,0.16666666666666666,0.5833333333333334,0.25925925925925924,0.4338624338624339,0.15536940980369196,0,0.03748154640197754
moving_average,43,0.18666666666666668,0.4821428571428571,0.15492957746478872,0.9166666666666666,0.26506024096385544,0.33333333333333337,0.13076782423149375,0,0.031960248947143555
moving_average,44,0.5466666666666666,0.49404761904761907,0.15625,0.4166666666666667,0.22727272727272727,0.47619047619047616,0.16463259988132797,0,0.031575918197631836
moving_average,45,0.16,0.5,0.16,1.0,0.2758620689655173,0.3108465608465609,0.12041348549468704,0,0.039815664291381836
moving_average,46,0.16,0.5,0.16,1.0,0.2758620689655173,0.37433862433862436,0.13377104644590926,0,0.03365945816040039
majority,42,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02617621421813965
majority,43,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.020819425582885742
majority,44,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02005791664123535
majority,45,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.020553112030029297
majority,46,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02010941505432129
rule,42,0.6266666666666667,0.5079365079365079,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.47883597883597884,0.20376924144019132,0,0.04489254951477051
rule,43,0.72,0.6646825396825398,0.30434782608695654,0.5833333333333334,0.4,0.6984126984126985,0.5757243135371611,0,0.043654680252075195
rule,44,0.7333333333333333,0.7063492063492063,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7314814814814815,0.33911117795805196,0,0.04231595993041992
rule,45,0.7333333333333333,0.5714285714285714,0.25,0.3333333333333333,0.28571428571428575,0.5727513227513228,0.3068785324402289,0,0.045083045959472656
rule,46,0.72,0.6646825396825398,0.30434782608695654,0.5833333333333334,0.4,0.6640211640211641,0.5532781526640054,0,0.0447847843170166
